time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-07 00:00:00+00:00,43,10,82,25
2025-02-08 00:00:00+00:00,39,7,26,9
2025-02-09 00:00:00+00:00,117,21,161,17
2025-02-10 00:00:00+00:00,84,14,165,30
2025-02-11 00:00:00+00:00,222,65,310,35
2025-02-12 00:00:00+00:00,59,12,279,105
2025-02-13 00:00:00+00:00,88,19,145,25
2025-02-14 00:00:00+00:00,89,19,174,27
2025-02-15 00:00:00+00:00,48,11,120,13
2025-02-16 00:00:00+00:00,48,13,86,12
2025-02-17 00:00:00+00:00,165,22,158,27
2025-02-18 00:00:00+00:00,54,14,46,18
2025-02-19 00:00:00+00:00,44,11,60,22
2025-02-20 00:00:00+00:00,44,9,116,28
